mode,config,buffer,max_noutput,n,ms_min,ms_med,ms_max,cpu_med,work_mean_med,det_med,drop_med
source-null,default,0,0,5,234.6,236.1,238.5,87.0,4095.5,0,0
source-null,32k,32768,32768,5,900.3,916.0,939.3,94.0,16383.2,0,0
source-null,128k,131072,131072,5,3495.5,3593.8,3689.1,118.0,65530.8,0,0
source-null,512k,524288,524288,5,4242.0,4260.3,4321.0,108.0,262054.5,0,0
source-null,1M,1048576,1048576,5,4409.7,4447.0,4479.2,105.0,524109.0,0,0
source-null,4M_n1M,4194304,1048576,5,2067.7,2167.7,2196.8,101.0,1048218.0,0,0
source-null,4M_n4M,4194304,4194304,5,2035.2,2073.8,2172.2,101.0,2092050.2,0,0
source-search,default,0,0,5,212.6,215.9,217.1,91.0,4089.4,0,0
source-search,32k,32768,32768,5,647.8,661.8,686.8,97.0,16307.9,0,0
source-search,128k,131072,131072,5,1986.8,2187.3,2269.7,146.0,49786.7,0,0
source-search,512k,524288,524288,5,3273.3,3346.6,3399.8,166.0,249751.2,0,0
source-search,1M,1048576,1048576,5,3423.0,3478.5,3507.1,169.0,503019.1,0,0
source-search,4M_n1M,4194304,1048576,5,1624.9,1725.0,1760.1,175.0,1039502.0,0,0
source-search,4M_n4M,4194304,4194304,5,1709.6,1747.3,1791.1,177.0,2040817.3,0,0
detector-sparse,default,0,0,5,202.7,212.1,212.6,90.0,4086.5,1,0
detector-sparse,32k,32768,32768,5,660.0,677.9,692.0,96.0,16328.6,1,0
detector-sparse,128k,131072,131072,5,2132.9,2281.3,2317.3,147.0,52417.2,1,0
detector-sparse,512k,524288,524288,5,3226.8,3340.0,3432.5,166.0,250376.5,1,0
detector-sparse,1M,1048576,1048576,5,3442.8,3468.4,3569.9,169.0,508648.0,1,0
detector-sparse,4M_n1M,4194304,1048576,5,1819.8,1939.8,2000.0,170.0,1014199.8,1,0
detector-sparse,4M_n4M,4194304,4194304,5,1933.1,1963.0,1975.6,170.0,1992032.8,1,0
