key,value
profile,dw1000-production
golden_schema,dw1000-tx-replica-v1
preprocessing_contract,cf32-998.4mhz-tone-removed-10mhz-shift-v1
matlab_release,2025b
source_capture,F:\UWB基带数据\dw1000_new_processed_1.dat
source_results,F:\USRP数据解调\decoded_results\dw1000_new_processed_1\all_frames_cir.mat
source_frame_index,1
sample_rate,998400000
code_index,11
preamble_repetitions,128
sfd_mode,decawave
window_start_0based,323687
window_sample_count,198140
preamble_start_absolute_0based,333687
preamble_start_window_0based,10000
frame_end_absolute_0based,511826
detected_repetitions,118
samples_per_repetition,1016.000000000
cfo_hz,-2682.506542032
sfd_name,Decawave DW-8
sfd_correlation,0.981887467
psdu_length_bytes,12
fcs_received,0x4440
fcs_calculated,0x4440
fcs_pass,1
cir_tap_count,38
cir_pre_samples,8
cir_post_samples,30
cir_repetition_count,108
tx_phy_mode,802.15.4a
tx_ranging,1
tx_sfd_number,0
tx_pulse_impulse_count,178112
tx_replica_sample_count,178112
tx_cir_zero_delay_index_0based,8
trial_nominal_start_window_0based,10000
trial_fitted_start_window_0based,10000
trial_sample_count,178112
trial_search_radius,128
trial_alignment_first_repetition_0based,24
trial_alignment_repetitions,32
trial_alignment_correlation,0.980969548225
trial_cfo_first_repetition_0based,24
trial_cfo_last_repetition_exclusive,128
trial_fitted_cfo_hz,-2667.70901808
trial_gain_first_repetition_0based,24
trial_gain_last_repetition_exclusive,128
trial_global_gain_real,-2620.63720703
trial_global_gain_imag,-13453.2910156
trial_power_before,11701620
trial_power_after,275558.25
trial_suppression_db,16.2803249359
trial_min_alignment_correlation,0.7
trial_min_suppression_db,0.2
trial_max_abs_cfo_hz,100000
