packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,sfd_final_det,sfd_initial_pred,sfd_boot_det,sfd_boot_first_valid_back,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_timing_coarse_us,t_timing_fine_track_us,t_resample_us,t_cfo_us,t_sfd_us,sfd_boot_windows,sfd_boot_coarse,sfd_boot_fine,sfd_final_windows,sfd_final_coarse,sfd_final_fine,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,4863383,4863383,4863383,0,0.9504836201667786,32512,54,False,54,5123.0,2191.0,1526.0,665.0,2929.0,786.0,818.0,1,5,15,1,5,15,1228.0,45.0,11.0,44.0,33.0,5130.0,5164.0,35.0,913.0,277.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,9855448,9855448,9855448,0,0.9500027298927307,32512,54,False,54,4332.0,2163.0,1473.0,690.0,2078.0,294.0,810.0,1,5,15,1,5,15,964.0,40.0,17.0,44.0,20.0,4335.0,4355.0,36.0,753.0,174.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,14847521,14847521,14847521,0,0.9495673775672913,32512,54,False,54,4196.0,2043.0,1352.0,690.0,2158.0,353.0,788.0,1,5,15,1,5,15,915.0,39.0,10.0,48.0,22.0,4199.0,4222.0,36.0,727.0,150.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,19839521,19845617,19839521,6,0.9502339363098145,32512,54,False,54,5075.0,2223.0,1435.0,787.0,2173.0,286.0,1460.0,7,35,105,1,5,15,1005.0,40.0,10.0,51.0,66.0,5080.0,5146.0,38.0,792.0,173.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,24831652,24831652,24831652,0,0.9498761892318726,32512,54,False,54,4182.0,2049.0,1380.0,668.0,2068.0,281.0,796.0,1,5,15,1,5,15,956.0,40.0,10.0,50.0,24.0,4185.0,4210.0,54.0,736.0,164.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,29823701,29823701,29823701,0,0.9500508904457092,32512,54,False,54,4249.0,2111.0,1424.0,687.0,2062.0,289.0,794.0,1,5,15,1,5,15,937.0,52.0,10.0,56.0,25.0,4253.0,4278.0,37.0,747.0,151.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,34815631,34823759,34815631,8,0.9501811265945435,32512,54,False,54,6403.0,2295.0,1405.0,890.0,2050.0,897.0,1889.0,9,45,128,1,5,15,1219.0,47.0,11.0,45.0,18.0,6412.0,6430.0,40.0,909.0,268.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,39807730,39807730,39807730,0,0.9502597451210022,32512,54,False,54,4175.0,2056.0,1390.0,666.0,2056.0,282.0,793.0,1,5,15,1,5,15,942.0,46.0,10.0,46.0,24.0,4179.0,4204.0,36.0,756.0,149.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,44799731,44799731,44799731,0,0.9502260684967041,32512,54,False,54,4612.0,2110.0,1450.0,660.0,2116.0,416.0,922.0,1,5,15,1,5,15,1061.0,40.0,18.0,45.0,24.0,4617.0,4642.0,97.0,814.0,148.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,49791842,49791842,49791842,0,0.9501979947090149,32512,54,False,54,4255.0,2103.0,1390.0,713.0,2063.0,283.0,817.0,1,5,15,1,5,15,952.0,40.0,10.0,50.0,18.0,4259.0,4277.0,35.0,767.0,148.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,54783838,54783838,54783838,0,0.9498867988586426,32512,54,False,54,4552.0,2086.0,1379.0,707.0,2194.0,291.0,894.0,1,5,15,1,5,15,1178.0,42.0,11.0,50.0,31.0,4555.0,4587.0,36.0,990.0,150.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,59775899,59775899,59775899,0,0.9502972960472107,32512,54,False,54,4339.0,2084.0,1392.0,692.0,2049.0,343.0,857.0,1,5,15,1,5,15,952.0,40.0,10.0,53.0,22.0,4344.0,4366.0,38.0,762.0,149.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,64767987,64767987,64767987,0,0.9492220878601074,32512,54,False,54,4215.0,2113.0,1406.0,706.0,2059.0,283.0,806.0,1,5,15,1,5,15,913.0,39.0,10.0,51.0,23.0,4218.0,4241.0,36.0,728.0,148.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,69759983,69759983,69759983,0,0.949436366558075,32512,54,False,54,4362.0,2149.0,1442.0,707.0,2105.0,312.0,802.0,1,5,15,1,5,15,995.0,40.0,20.0,44.0,66.0,4366.0,4432.0,36.0,806.0,151.0
