slot,status,decode_ok,fcs_pass,predicted_start_native,window_start_native,predicted_start_out,detected_start_out,det_minus_pred,detected_repetitions,timing_metric,clock_error_ppm,cfo_hz,sfd_correlation,phr_secded_pass,psdu_length,fcs_received,fcs_calculated,payload_hex,error_id,error_message
0,success,1,1,3543552,3513552,4798588,4798359,-229,64,0.949084341526031,4.44089209850063e-10,1720.9352172183,0.94664990901947,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
1,success,1,1,7229952,7199952,9790588,9790424,-164,64,0.904285430908203,2.22044604925031e-10,1795.69323691101,0.903655469417572,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
2,success,1,1,10916352,10886352,14782588,14782497,-91,64,0.938023149967194,4.44089209850063e-10,1767.41172665664,0.934530317783356,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
3,success,1,1,14602752,14572752,19774588,19774497,-91,64,0.895066320896149,4.44089209850063e-10,1718.42834685059,0.893959879875183,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
4,success,1,1,18289152,18259152,24766588,24766628,40,64,0.950686693191528,4.44089209850063e-10,1561.59107302536,0.949829041957855,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
5,success,1,1,21975552,21945552,29758588,29758677,89,64,0.943993806838989,2.22044604925031e-10,1977.99612855087,0.940880179405212,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
6,success,1,1,25661952,25631952,34750588,34750607,19,64,0.881009042263031,4.44089209850063e-10,1858.86504826931,0.880379796028137,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
7,success,1,1,29348352,29318352,39742588,39742706,118,64,0.948274970054626,2.22044604925031e-10,1659.50652909045,0.947367012500763,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
8,success,1,1,33034752,33004752,44734588,44734707,119,64,0.930155575275421,2.22044604925031e-10,1652.47147252394,0.925799608230591,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
9,success,1,1,36721152,36691152,49726588,49726818,230,64,0.887002348899841,8.88178419700125e-10,1810.05528256459,0.886618494987488,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
10,success,1,1,40407552,40377552,54718588,54718814,226,64,0.951876282691956,4.44089209850063e-10,1925.89661921985,0.950880348682404,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
