packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_cfo_us,t_sfd_us,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
0,success,True,4798359,4798588,4757963,0.3212985396385193,64,1720.9350701711392,40,24,4823758,4863382,0.8961600065231323,0.9504836201667786,32512,54,False,54,10577.0,3910.0,830.0,4441.0,1292.0,49.0,11.0,44.0,25.0,10580.0,10606.0,53.0,954.0,283.0
1,success,True,9790424,9790588,9749963,0.29171639680862427,64,1795.693360729696,40,24,9815823,9855447,0.8166065216064453,0.9500027298927307,32512,54,False,54,14655.0,7828.0,895.0,4511.0,1305.0,48.0,11.0,57.0,18.0,14657.0,14675.0,43.0,967.0,293.0
2,success,True,14782497,14782588,14741963,0.30492261052131653,64,1767.4115250314783,40,24,14807896,14847520,0.8733616471290588,0.9495673775672913,32512,54,False,54,9736.0,3792.0,441.0,4402.0,994.0,41.0,22.0,44.0,21.0,9740.0,9762.0,40.0,799.0,153.0
3,success,True,19774497,19774588,19733963,0.28618699312210083,64,1718.4283072321393,40,24,19799896,19839520,0.7991725206375122,0.9502339363098145,32512,54,False,54,9761.0,3872.0,296.0,4514.0,970.0,43.0,21.0,45.0,23.0,9765.0,9788.0,44.0,768.0,157.0
4,success,True,24766628,24766588,24725963,0.31530120968818665,64,1561.5911957362514,40,24,24792027,24831651,0.9021921157836914,0.9498761892318726,32512,54,False,54,10933.0,3708.0,307.0,5130.0,1626.0,69.0,15.0,78.0,30.0,10937.0,10967.0,83.0,1336.0,203.0
5,success,True,29758677,29758588,29717963,0.31691214442253113,64,1977.996433560789,40,24,29784076,29823700,0.8852660059928894,0.9500508904457092,32512,54,False,54,12019.0,5966.0,352.0,4604.0,988.0,43.0,12.0,54.0,25.0,12024.0,12049.0,46.0,788.0,153.0
6,success,True,34750607,34750588,34709963,0.27035945653915405,64,1858.8652158810874,40,24,34776006,34815630,0.77507483959198,0.9501811265945435,32512,54,False,54,9663.0,3871.0,298.0,4431.0,957.0,42.0,12.0,52.0,23.0,9666.0,9690.0,40.0,762.0,153.0
7,success,True,39742706,39742588,39701963,0.317039430141449,64,1659.5075240422873,40,24,39768105,39807729,0.8975149989128113,0.9502597451210022,32512,54,False,54,9671.0,3686.0,326.0,4562.0,980.0,42.0,12.0,63.0,22.0,9674.0,9697.0,40.0,782.0,157.0
8,success,True,44734707,44734588,44693963,0.30354905128479004,64,1652.4716272915855,40,24,44760106,44799730,0.8571189641952515,0.9502260684967041,32512,54,False,54,10393.0,3745.0,806.0,4478.0,1258.0,50.0,11.0,45.0,29.0,10397.0,10426.0,41.0,922.0,293.0
9,success,True,49726818,49726588,49685963,0.27143365144729614,64,1810.0551930699846,40,24,49752217,49791841,0.7861024737358093,0.9501979947090149,32512,54,False,54,9719.0,3756.0,307.0,4428.0,1111.0,42.0,21.0,54.0,2168.0,9723.0,11892.0,39.0,891.0,180.0
10,success,True,54718814,54718588,54677963,0.3085869252681732,64,1925.896545481595,40,24,54744213,54783837,0.9041869044303894,0.9498867988586426,32512,54,False,54,9979.0,4049.0,327.0,4535.0,962.0,41.0,11.0,54.0,27.0,9984.0,10011.0,37.0,770.0,153.0
11,success,True,59710875,59710588,59669963,0.28590381145477295,64,1487.7396272054057,40,24,59736274,59775898,0.8197079300880432,0.9502972960472107,32512,54,False,54,9593.0,3782.0,298.0,4414.0,990.0,41.0,12.0,56.0,39.0,9596.0,9635.0,88.0,746.0,154.0
12,success,True,64702963,64702588,64661963,0.3187904357910156,64,2415.4024073724167,40,24,64728362,64767986,0.8967378735542297,0.9492220878601074,32512,54,False,54,9774.0,3900.0,299.0,4490.0,977.0,43.0,20.0,45.0,32.0,9778.0,9810.0,54.0,766.0,155.0
13,success,True,69694959,69694588,69653963,0.32651081681251526,64,1936.2376862478006,40,24,69720358,69759982,0.9036521911621094,0.949436366558075,32512,54,False,54,11391.0,5499.0,320.0,4493.0,972.0,41.0,21.0,45.0,28.0,11395.0,11423.0,39.0,763.0,168.0
14,success,True,74687008,74686588,74645963,0.28364357352256775,64,1707.8094080631647,40,24,74712407,74752031,0.8174945712089539,0.9496483206748962,32512,54,False,54,9547.0,3776.0,296.0,4387.0,982.0,41.0,11.0,54.0,37.0,9551.0,9589.0,39.0,772.0,160.0
